CAPEC,technique,CAPEC name,technique name,BoW link probability,spaCy link probability,BERT link probability,CWEs,Tactics,CAPEC original ID,Technique original ID
capec_00591,technique_00580,Cause Web Server Misclassification,Reflective Code Loading,0.07,0.38,0.54,['Deployment of Wrong Handler'],['defense-evasion'],11,T1620
capec_00592,technique_00580,Choosing Message Identifier,Reflective Code Loading,0.16,0.38,0.41,"['Missing Authentication for Critical Function', 'Insertion of Sensitive Information Into Sent Data']",['defense-evasion'],12,T1620
capec_00593,technique_00580,Subverting Environment Variable Values,Reflective Code Loading,0.6,0.67,0.63,"['Improper Input Validation', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Authentication Bypass by Assumed-Immutable Data', 'External Control of System or Configuration Setting', 'Exposure of Sensitive Information to an Unauthorized Actor', 'Improper Authorization', 'External Control of File Name or Path', 'Missing Support for Integrity Check']",['defense-evasion'],13,T1620
capec_00594,technique_00580,Client-side Injection-induced Buffer Overflow,Reflective Code Loading,0.1,0.2,0.21,"['Improper Input Validation', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"", ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Incorrect Comparison', 'Improper Restriction of Operations within the Bounds of a Memory Buffer', 'Integer Overflow to Buffer Overflow', ""Incorrect Access of Indexable Resource ('Range Error')"", 'Missing Support for Integrity Check']",['defense-evasion'],14,T1620
capec_00595,technique_00580,Command Delimiters,Reflective Code Loading,0.02,0.23,0.32,"['Improper Neutralization of Expression/Command Delimiters', 'Incorrect Regular Expression', 'Incorrect Comparison', ""Improper Neutralization of CRLF Sequences ('CRLF Injection')"", 'Improper Neutralization of Delimiters', 'Incomplete List of Disallowed Inputs', 'Improper Neutralization of Special Elements', 'Failure to Sanitize Paired Delimiters', 'Improper Neutralization of Variable Name Delimiters', ""Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"", ""Improper Neutralization of Special Elements used in a Command ('Command Injection')""]",['defense-evasion'],15,T1620
capec_00596,technique_00580,Dictionary-based Password Attack,Reflective Code Loading,0.48,0.41,0.49,"['Password Aging with Long Expiration', 'Use of Password System for Primary Authentication', 'Not Using Password Aging', 'Weak Password Requirements', 'Improper Restriction of Excessive Authentication Attempts', 'Use of Single-factor Authentication', 'Reliance on a Single Factor in a Security Decision']",['defense-evasion'],16,T1620
capec_00597,technique_00580,Using Malicious Files,Reflective Code Loading,0.77,0.69,0.59,"['Incorrect Permission Assignment for Critical Resource', 'Privilege Context Switching Error', 'Least Privilege Violation', 'Improper Ownership Management', ""Improper Link Resolution Before File Access ('Link Following')"", 'Improper Authorization', 'Protection Mechanism Failure']",['defense-evasion'],17,T1620
capec_00598,technique_00580,XSS Targeting Non-Script Elements,Reflective Code Loading,0.03,0.24,0.32,['Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)'],['defense-evasion'],18,T1620
capec_00599,technique_00580,Embedding Scripts within Scripts,Reflective Code Loading,0.3,0.6,0.42,['Improper Access Control'],['defense-evasion'],19,T1620
capec_00600,technique_00580,Encryption Brute Forcing,Reflective Code Loading,0.13,0.42,0.37,"['Protection Mechanism Failure', 'Use of a Broken or Risky Cryptographic Algorithm', 'Generation of Weak Initialization Vector (IV)', 'Inadequate Encryption Strength']",['defense-evasion'],20,T1620
capec_00601,technique_00580,Exploitation of Trusted Identifiers,Reflective Code Loading,0.32,0.52,0.63,"['Use of Persistent Cookies Containing Sensitive Information', 'Authentication Bypass by Assumed-Immutable Data', 'Improper Control of a Resource Through its Lifetime', 'Client-Side Enforcement of Server-Side Security', 'Session Fixation', 'J2EE Misconfiguration: Insufficient Session-ID Length', 'Origin Validation Error', 'Authentication Bypass by Spoofing', 'External Control of Critical State Data']",['defense-evasion'],21,T1620
capec_00602,technique_00580,Exploiting Trust in Client,Reflective Code Loading,0.43,0.53,0.4,"['Improper Input Validation', 'Improper Authentication', 'Exposure of Sensitive Information to an Unauthorized Actor', 'Authentication Bypass by Spoofing', 'Protection Mechanism Failure']",['defense-evasion'],22,T1620
capec_00603,technique_00580,File Content Injection,Reflective Code Loading,0.08,0.31,0.4,['Improper Input Validation'],['defense-evasion'],23,T1620
capec_00604,technique_00580,Filter Failure through Buffer Overflow,Reflective Code Loading,0.02,0.26,0.17,"['Improper Input Validation', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"", ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Incorrect Comparison', 'Compiler Optimization Removal or Modification of Security-critical Code', 'Improper Restriction of Operations within the Bounds of a Memory Buffer', 'Integer Overflow to Buffer Overflow', ""Incorrect Access of Indexable Resource ('Range Error')""]",['defense-evasion'],24,T1620
capec_00605,technique_00580,Forced Deadlock,Reflective Code Loading,0.13,0.56,0.41,"['Improper Synchronization', 'Use of Blocking Code in Single-threaded, Non-blocking Context', 'Improper Locking', 'Unrestricted Externally Accessible Lock', 'Deadlock', 'Unsynchronized Access to Shared Data in a Multithreaded Context']",['defense-evasion'],25,T1620
capec_00606,technique_00580,Leveraging Race Conditions,Reflective Code Loading,0.32,0.46,0.51,"['Improper Synchronization', 'Race Condition within a Thread', 'Permission Race Condition During Resource Copy', 'Improper Initialization', 'Incorrect Comparison Logic Granularity', 'Missing Check for Certificate Revocation after Initial Check', 'Hardware Logic Contains Race Conditions', 'Improper Locking', ""Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')"", 'Context Switching Race Condition', 'Race Condition for Write-Once Attributes', 'Race Condition Enabling Link Following']",['defense-evasion'],26,T1620
capec_00607,technique_00580,Leveraging Race Conditions via Symbolic Links,Reflective Code Loading,0.17,0.46,0.55,"['Time-of-check Time-of-use (TOCTOU) Race Condition', 'Improper Synchronization', 'Permission Race Condition During Resource Copy', 'UNIX Symbolic Link (Symlink) Following', 'Improper Locking']",['defense-evasion'],27,T1620
capec_00608,technique_00580,Fuzzing,Reflective Code Loading,0.01,0.29,0.2,"['Improper Input Validation', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')""]",['defense-evasion'],28,T1620
capec_00609,technique_00580,Leveraging Time-of-Check and Time-of-Use (TOCTOU) Race Conditions,Reflective Code Loading,0.37,0.48,0.59,"['Time-of-check Time-of-use (TOCTOU) Race Condition', 'Improper Synchronization', 'Race Condition within a Thread', 'Improper Initialization', 'Missing Check for Certificate Revocation after Initial Check', 'Insufficient Control Flow Management', ""Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')"", 'Context Switching Race Condition', 'Use of a Non-reentrant Function in a Concurrent Context']",['defense-evasion'],29,T1620
capec_00610,technique_00580,Hijacking a Privileged Thread of Execution,Reflective Code Loading,0.41,0.51,0.51,['Privilege Context Switching Error'],['defense-evasion'],30,T1620
capec_00611,technique_00580,Accessing/Intercepting/Modifying HTTP Cookies,Reflective Code Loading,0.38,0.4,0.48,"['Use of Persistent Cookies Containing Sensitive Information', 'Improper Input Validation', 'Authentication Bypass by Assumed-Immutable Data', ""Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')"", 'Reliance on Cookies without Validation and Integrity Checking', 'Session Fixation', 'Missing Encryption of Sensitive Data', 'External Control of Assumed-Immutable Web Parameter', 'Client-Side Enforcement of Server-Side Security', 'Cleartext Storage of Sensitive Information in a Cookie', 'External Control of Critical State Data']",['defense-evasion'],31,T1620
capec_00612,technique_00580,XSS Through HTTP Query Strings,Reflective Code Loading,0.1,0.23,0.22,['Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)'],['defense-evasion'],32,T1620
capec_00613,technique_00580,HTTP Request Smuggling,Reflective Code Loading,0.22,0.42,0.38,"[""Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling')""]",['defense-evasion'],33,T1620
capec_00614,technique_00580,HTTP Response Splitting,Reflective Code Loading,0.09,0.18,0.32,"['Improper Neutralization of Special Elements', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", ""Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')"", 'Interpretation Conflict']",['defense-evasion'],34,T1620
capec_00615,technique_00580,Leverage Executable Code in Non-Executable Files,Reflective Code Loading,0.54,0.33,0.32,"['Improper Neutralization of Server-Side Includes (SSI) Within a Web Page', 'Privilege Context Switching Error', 'Least Privilege Violation', ""Improper Control of Generation of Code ('Code Injection')"", 'Improper Ownership Management', ""Improper Link Resolution Before File Access ('Link Following')"", ""Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')"", ""Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')""]",['defense-evasion'],35,T1620
capec_00616,technique_00580,Using Unpublished Interfaces,Reflective Code Loading,0.11,0.5,0.43,"['Missing Authentication for Critical Function', 'Inclusion of Undocumented Features or Chicken Bits', 'Protection Mechanism Failure', 'Use of Low-Level Functionality']",['defense-evasion'],36,T1620
capec_00617,technique_00580,Retrieve Embedded Sensitive Data,Reflective Code Loading,0.42,0.44,0.54,"['Cleartext Storage of Sensitive Information in Executable', 'Exposure of Sensitive System Information Due to Uncleared Debug Information', 'Sensitive Information in Resource Not Removed Before Reuse', 'Use of Web Browser Cache Containing Sensitive Information', 'Cleartext Storage of Sensitive Information', 'Cleartext Storage in the Registry', 'Improper Scrubbing of Sensitive Data from Decommissioned Device', 'Sensitive Information Uncleared Before Debug/Power State Transition', 'Missing Encryption of Sensitive Data', 'Missing Protection Against Hardware Reverse Engineering Using Integrated Circuit (IC) Imaging Techniques', 'Improper Zeroization of Hardware Register', 'Remanent Data Readable after Memory Erase', 'Cleartext Storage of Sensitive Information in a Cookie', 'Insufficient or Incomplete Data Removal within Hardware Component']",['defense-evasion'],37,T1620
capec_00618,technique_00580,Leveraging/Manipulating Configuration File Search Paths,Reflective Code Loading,0.59,0.56,0.59,"['Uncontrolled Search Path Element', 'Untrusted Search Path']",['defense-evasion'],38,T1620
capec_00619,technique_00580,Manipulating Opaque Client-based Data Tokens,Reflective Code Loading,0.36,0.37,0.63,"['Use of Persistent Cookies Containing Sensitive Information', 'Authentication Bypass by Assumed-Immutable Data', 'Reliance on Cookies without Validation and Integrity Checking', 'Session Fixation', 'Improper Authorization', 'External Control of Assumed-Immutable Web Parameter', 'Improper Handling of Parameters', 'Cleartext Storage of Sensitive Information in a Cookie', 'Missing Support for Integrity Check']",['defense-evasion'],39,T1620
capec_00620,technique_00580,Manipulating Writeable Terminal Devices,Reflective Code Loading,0.01,0.25,0.2,"[""Improper Neutralization of Special Elements used in a Command ('Command Injection')""]",['defense-evasion'],40,T1620
capec_00621,technique_00580,Using Meta-characters in E-mail Headers to Inject Malicious Payloads,Reflective Code Loading,0.19,0.34,0.3,"['Incorrect Comparison', ""Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')"", 'Improper Neutralization of Escape, Meta, or Control Sequences']",['defense-evasion'],41,T1620
capec_00622,technique_00580,MIME Conversion,Reflective Code Loading,0.0,0.2,0.11,"['Improper Input Validation', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"", 'Improper Restriction of Operations within the Bounds of a Memory Buffer', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')""]",['defense-evasion'],42,T1620
capec_00623,technique_00580,Exploiting Multiple Input Interpretation Layers,Reflective Code Loading,0.17,0.28,0.33,"['Improper Input Validation', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Improper Neutralization', 'Incorrect Comparison', 'Incomplete List of Disallowed Inputs', 'Permissive List of Allowed Inputs', 'Incorrect Behavior Order: Early Validation', 'Incorrect Behavior Order: Validate Before Filter', ""Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"", ""Improper Neutralization of Special Elements used in a Command ('Command Injection')""]",['defense-evasion'],43,T1620
capec_00624,technique_00580,Overflow Binary Resource File,Reflective Code Loading,0.1,0.3,0.27,"['Incorrect Comparison', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"", 'Improper Restriction of Operations within the Bounds of a Memory Buffer']",['defense-evasion'],44,T1620
capec_00625,technique_00580,Buffer Overflow via Symbolic Links,Reflective Code Loading,0.1,0.21,0.24,"['Improper Input Validation', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"", 'Authentication Bypass by Assumed-Immutable Data', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Incorrect Comparison', 'Improper Authorization', 'Improper Restriction of Operations within the Bounds of a Memory Buffer', 'Integer Overflow to Buffer Overflow', ""Incorrect Access of Indexable Resource ('Range Error')""]",['defense-evasion'],45,T1620
capec_00626,technique_00580,Overflow Variables and Tags,Reflective Code Loading,0.04,0.27,0.17,"['Improper Input Validation', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"", ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Incorrect Comparison', 'Compiler Optimization Removal or Modification of Security-critical Code', 'Improper Restriction of Operations within the Bounds of a Memory Buffer', 'Integer Overflow to Buffer Overflow', ""Incorrect Access of Indexable Resource ('Range Error')""]",['defense-evasion'],46,T1620
capec_00627,technique_00580,Buffer Overflow via Parameter Expansion,Reflective Code Loading,0.0,0.07,0.16,"['Improper Input Validation', 'Incorrect Calculation of Buffer Size', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"", ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Incorrect Comparison', 'Improper Handling of Length Parameter Inconsistency', 'Improper Restriction of Operations within the Bounds of a Memory Buffer', 'Integer Overflow to Buffer Overflow', ""Incorrect Access of Indexable Resource ('Range Error')""]",['defense-evasion'],47,T1620
capec_00628,technique_00580,Passing Local Filenames to Functions That Expect a URL,Reflective Code Loading,0.16,0.45,0.41,"['Improper Handling of Unexpected Data Type', 'Use of Incorrectly-Resolved Name or Reference']",['defense-evasion'],48,T1620
capec_00629,technique_00580,Password Brute Forcing,Reflective Code Loading,0.73,0.61,0.63,"['Password Aging with Long Expiration', 'Storing Passwords in a Recoverable Format', 'Use of Password System for Primary Authentication', 'Not Using Password Aging', 'Weak Password Requirements', 'Improper Restriction of Excessive Authentication Attempts', 'Use of Single-factor Authentication', 'Reliance on a Single Factor in a Security Decision']",['defense-evasion'],49,T1620
capec_00630,technique_00580,Password Recovery Exploitation,Reflective Code Loading,0.44,0.57,0.71,"['Weak Password Recovery Mechanism for Forgotten Password', 'Insufficiently Protected Credentials']",['defense-evasion'],50,T1620
capec_00631,technique_00580,Poison Web Service Registry,Reflective Code Loading,0.25,0.48,0.29,"['Improper Authorization', 'Protection Mechanism Failure', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')""]",['defense-evasion'],51,T1620
capec_00632,technique_00580,Embedding NULL Bytes,Reflective Code Loading,0.06,0.27,0.21,"['Improper Input Validation', 'Improper Neutralization of Null Byte or NUL Character', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Improper Neutralization', 'Improper Handling of Alternate Encoding', 'Incorrect Comparison', 'Encoding Error']",['defense-evasion'],52,T1620
capec_00633,technique_00580,"Postfix, Null Terminate, and Backslash",Reflective Code Loading,0.08,0.35,0.25,"['Improper Input Validation', 'Improper Neutralization of Null Byte or NUL Character', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Improper Neutralization', 'Improper Handling of Alternate Encoding', 'Incorrect Comparison', 'Encoding Error']",['defense-evasion'],53,T1620
capec_00634,technique_00580,Query System for Information,Reflective Code Loading,0.1,0.41,0.46,['Generation of Error Message Containing Sensitive Information'],['defense-evasion'],54,T1620
capec_00635,technique_00580,Rainbow Table Password Cracking,Reflective Code Loading,0.68,0.52,0.65,"['Password Aging with Long Expiration', 'Use of Password Hash With Insufficient Computational Effort', 'Use of Password System for Primary Authentication', 'Not Using Password Aging', 'Weak Encoding for Password', 'Weak Password Requirements', 'Use of Single-factor Authentication', 'Reliance on a Single Factor in a Security Decision']",['defense-evasion'],55,T1620
capec_00636,technique_00580,Utilizing REST's Trust in the System Resource to Obtain Sensitive Data,Reflective Code Loading,0.23,0.55,0.53,"['Improper Authentication', 'Channel Accessible by Non-Endpoint', 'Protection Mechanism Failure']",['defense-evasion'],57,T1620
capec_00637,technique_00580,Restful Privilege Elevation,Reflective Code Loading,0.58,0.43,0.58,"['Privilege Defined With Unsafe Actions', 'Improper Privilege Management']",['defense-evasion'],58,T1620
capec_00638,technique_00580,Session Credential Falsification through Prediction,Reflective Code Loading,0.61,0.4,0.59,"['Use of Persistent Cookies Containing Sensitive Information', 'Insufficient Entropy', 'Exposure of Data Element to Wrong Session', 'Session Fixation', 'J2EE Misconfiguration: Insufficient Session-ID Length', 'Authentication Bypass by Spoofing', 'Exposure of Sensitive Information to an Unauthorized Actor', 'Improper Authorization', 'Protection Mechanism Failure', 'Origin Validation Error', 'Use of Insufficiently Random Values']",['defense-evasion'],59,T1620
capec_00639,technique_00580,Reusing Session IDs (aka Session Replay),Reflective Code Loading,0.75,0.59,0.76,"['Use of Persistent Cookies Containing Sensitive Information', 'Incorrect Permission Assignment for Critical Resource', 'Improper Control of a Resource Through its Lifetime', 'Exposure of Data Element to Wrong Session', 'Session Fixation', 'Authentication Bypass by Spoofing', 'Exposure of Sensitive Information to an Unauthorized Actor', 'Improper Authorization', 'Origin Validation Error', 'Authentication Bypass by Capture-replay']",['defense-evasion'],60,T1620
capec_00640,technique_00580,Session Fixation,Reflective Code Loading,0.18,0.26,0.46,"['Incorrect Permission Assignment for Critical Resource', 'Session Fixation', 'Improper Control of a Resource Through its Lifetime']",['defense-evasion'],61,T1620
capec_00641,technique_00580,Cross Site Request Forgery,Reflective Code Loading,0.33,0.48,0.6,"['Incorrect Permission Assignment for Critical Resource', 'Improper Control of a Resource Through its Lifetime', 'Sensitive Cookie with Improper SameSite Attribute', 'Missing Authentication for Critical Function', 'Cross-Site Request Forgery (CSRF)']",['defense-evasion'],62,T1620
capec_00642,technique_00580,Cross-Site Scripting (XSS),Reflective Code Loading,0.02,0.2,0.21,"[""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"", 'Improper Input Validation']",['defense-evasion'],63,T1620
capec_00643,technique_00580,Using Slashes and URL Encoding Combined to Bypass Validation Logic,Reflective Code Loading,0.18,0.19,0.25,"['Improper Input Validation', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Improper Neutralization', 'Improper Handling of Alternate Encoding', 'Incorrect Comparison', 'Encoding Error', 'External Control of File Name or Path', 'Improper Handling of URL Encoding (Hex Encoding)', ""Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')""]",['defense-evasion'],64,T1620
capec_00644,technique_00580,Sniff Application Code,Reflective Code Loading,0.08,0.27,0.49,"['Cleartext Storage of Sensitive Information in Executable', 'Protection Mechanism Failure', 'Cleartext Transmission of Sensitive Information', 'Missing Encryption of Sensitive Data']",['defense-evasion'],65,T1620
capec_00645,technique_00580,SQL Injection,Reflective Code Loading,0.03,0.14,0.13,"['Improper Validation of Syntactic Correctness of Input', ""Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')""]",['defense-evasion'],66,T1620
capec_00646,technique_00580,String Format Overflow in syslog(),Reflective Code Loading,0.09,0.26,0.3,"['Improper Input Validation', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"", ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Incorrect Comparison', 'Use of Externally-Controlled Format String', 'Integer Overflow to Buffer Overflow']",['defense-evasion'],67,T1620
capec_00647,technique_00580,Subvert Code-signing Facilities,Reflective Code Loading,0.15,0.55,0.48,"['Missing Cryptographic Step', 'Missing Immutable Root of Trust in Hardware', 'Use of Weak Hash']",['defense-evasion'],68,T1620
capec_00648,technique_00580,Target Programs with Elevated Privileges,Reflective Code Loading,0.48,0.58,0.61,"['External Control of System or Configuration Setting', 'Execution with Unnecessary Privileges']",['defense-evasion'],69,T1620
capec_00649,technique_00580,Try Common or Default Usernames and Passwords,Reflective Code Loading,0.79,0.73,0.82,"['Password Aging with Long Expiration', 'Use of Password System for Primary Authentication', 'Not Using Password Aging', 'Weak Password Requirements', 'Use of Hard-coded Credentials', 'Use of Single-factor Authentication', 'Reliance on a Single Factor in a Security Decision']",['defense-evasion'],70,T1620
capec_00650,technique_00580,Using Unicode Encoding to Bypass Validation Logic,Reflective Code Loading,0.24,0.34,0.38,"['Improper Input Validation', 'Incomplete Denylist to Cross-Site Scripting', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Improper Handling of Alternate Encoding', 'Incorrect Comparison', 'Incomplete List of Disallowed Inputs', 'Encoding Error', 'Incorrect Behavior Order: Early Validation', 'Permissive List of Allowed Inputs', 'Improper Handling of Unicode Encoding', 'Incorrect Behavior Order: Validate Before Canonicalize']",['defense-evasion'],71,T1620
capec_00651,technique_00580,URL Encoding,Reflective Code Loading,0.17,0.4,0.19,"['Improper Input Validation', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Improper Handling of Alternate Encoding', 'Encoding Error', 'External Control of File Name or Path', 'Improper Handling of URL Encoding (Hex Encoding)']",['defense-evasion'],72,T1620
capec_00652,technique_00580,User-Controlled Filename,Reflective Code Loading,0.15,0.32,0.22,"['Improper Input Validation', 'Use of Less Trusted Source', 'Incorrect Comparison', 'Incomplete List of Disallowed Inputs', 'Improper Encoding or Escaping of Output', 'Improper Neutralization of Invalid Characters in Identifiers in Web Pages', 'Reliance on Reverse DNS Resolution for a Security-Critical Action', ""Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')""]",['defense-evasion'],73,T1620
capec_00653,technique_00580,Manipulating State,Reflective Code Loading,0.14,0.37,0.39,"['Improper Finite State Machines (FSMs) in Hardware Logic', 'Uninitialized Value on Reset for Registers Holding Security Settings', 'Incomplete Internal State Distinction', 'Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls', 'Incorrect Selection of Fuse Values', 'Protection Mechanism Failure', 'Cleartext Storage of Sensitive Information in a Cookie', 'Missing Support for Integrity Check']",['defense-evasion'],74,T1620
capec_00654,technique_00580,Manipulating Writeable Configuration Files,Reflective Code Loading,0.33,0.34,0.4,"['Improper Validation of Integrity Check Value', 'Acceptance of Extraneous Untrusted Data With Trusted Data', 'Origin Validation Error', ""Improper Control of Resource Identifiers ('Resource Injection')"", ""Improper Neutralization of Special Elements used in a Command ('Command Injection')"", 'Missing Support for Integrity Check']",['defense-evasion'],75,T1620
capec_00655,technique_00580,Manipulating Web Input to File System Calls,Reflective Code Loading,0.52,0.5,0.44,"[""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Use of Less Trusted Source', 'Least Privilege Violation', 'External Control of System or Configuration Setting', ""Improper Link Resolution Before File Access ('Link Following')"", 'Improper Authorization', 'Relative Path Traversal', 'External Control of File Name or Path', 'Origin Validation Error', ""Improper Neutralization of Special Elements used in a Command ('Command Injection')"", ""Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')""]",['defense-evasion'],76,T1620
